Algorithm,Size,Distribution,Run,TimeMillis
Bubble,1000,Random,1,4
Bubble,1000,Random,2,0
Bubble,1000,Random,3,0
Bubble,1000,Random,4,0
Bubble,1000,Random,5,0
Bubble,1000,Random,6,0
Bubble,1000,Random,7,0
Bubble,1000,Random,8,0
Bubble,1000,Random,9,0
Bubble,1000,Random,10,0
Bubble,1000,Random,11,0
Bubble,1000,Random,12,1
Bubble,1000,Random,13,0
Bubble,1000,Random,14,1
Bubble,1000,Random,15,1
Bubble,1000,Random,16,0
Bubble,1000,Random,17,0
Bubble,1000,Random,18,1
Bubble,1000,Random,19,1
Bubble,1000,Random,20,0
Bubble,1000,Random,21,1
Bubble,1000,Random,22,0
Bubble,1000,Random,23,0
Bubble,1000,Random,24,1
Bubble,1000,Random,25,0
Bubble,1000,Random,26,1
Bubble,1000,Random,27,0
Bubble,1000,Random,28,1
Bubble,1000,Random,29,0
Bubble,1000,Random,30,0
Bubble,1000,Sorted,1,0
Bubble,1000,Sorted,2,0
Bubble,1000,Sorted,3,0
Bubble,1000,Sorted,4,0
Bubble,1000,Sorted,5,0
Bubble,1000,Sorted,6,0
Bubble,1000,Sorted,7,0
Bubble,1000,Sorted,8,0
Bubble,1000,Sorted,9,0
Bubble,1000,Sorted,10,0
Bubble,1000,Sorted,11,0
Bubble,1000,Sorted,12,0
Bubble,1000,Sorted,13,0
Bubble,1000,Sorted,14,0
Bubble,1000,Sorted,15,0
Bubble,1000,Sorted,16,0
Bubble,1000,Sorted,17,0
Bubble,1000,Sorted,18,0
Bubble,1000,Sorted,19,0
Bubble,1000,Sorted,20,0
Bubble,1000,Sorted,21,0
Bubble,1000,Sorted,22,0
Bubble,1000,Sorted,23,0
Bubble,1000,Sorted,24,0
Bubble,1000,Sorted,25,0
Bubble,1000,Sorted,26,0
Bubble,1000,Sorted,27,0
Bubble,1000,Sorted,28,0
Bubble,1000,Sorted,29,0
Bubble,1000,Sorted,30,0
Bubble,1000,Reversed,1,1
Bubble,1000,Reversed,2,2
Bubble,1000,Reversed,3,1
Bubble,1000,Reversed,4,1
Bubble,1000,Reversed,5,1
Bubble,1000,Reversed,6,1
Bubble,1000,Reversed,7,1
Bubble,1000,Reversed,8,1
Bubble,1000,Reversed,9,1
Bubble,1000,Reversed,10,0
Bubble,1000,Reversed,11,1
Bubble,1000,Reversed,12,1
Bubble,1000,Reversed,13,1
Bubble,1000,Reversed,14,1
Bubble,1000,Reversed,15,0
Bubble,1000,Reversed,16,0
Bubble,1000,Reversed,17,0
Bubble,1000,Reversed,18,0
Bubble,1000,Reversed,19,1
Bubble,1000,Reversed,20,1
Bubble,1000,Reversed,21,0
Bubble,1000,Reversed,22,1
Bubble,1000,Reversed,23,0
Bubble,1000,Reversed,24,0
Bubble,1000,Reversed,25,1
Bubble,1000,Reversed,26,1
Bubble,1000,Reversed,27,0
Bubble,1000,Reversed,28,1
Bubble,1000,Reversed,29,1
Bubble,1000,Reversed,30,1
Bubble,10000,Random,1,79
Bubble,10000,Random,2,82
Bubble,10000,Random,3,82
Bubble,10000,Random,4,81
Bubble,10000,Random,5,81
Bubble,10000,Random,6,80
Bubble,10000,Random,7,83
Bubble,10000,Random,8,80
Bubble,10000,Random,9,82
Bubble,10000,Random,10,81
Bubble,10000,Random,11,80
Bubble,10000,Random,12,81
Bubble,10000,Random,13,84
Bubble,10000,Random,14,80
Bubble,10000,Random,15,82
Bubble,10000,Random,16,80
Bubble,10000,Random,17,82
Bubble,10000,Random,18,81
Bubble,10000,Random,19,83
Bubble,10000,Random,20,81
Bubble,10000,Random,21,82
Bubble,10000,Random,22,82
Bubble,10000,Random,23,81
Bubble,10000,Random,24,82
Bubble,10000,Random,25,83
Bubble,10000,Random,26,81
Bubble,10000,Random,27,82
Bubble,10000,Random,28,82
Bubble,10000,Random,29,81
Bubble,10000,Random,30,80
Bubble,10000,Sorted,1,0
Bubble,10000,Sorted,2,0
Bubble,10000,Sorted,3,0
Bubble,10000,Sorted,4,0
Bubble,10000,Sorted,5,0
Bubble,10000,Sorted,6,0
Bubble,10000,Sorted,7,0
Bubble,10000,Sorted,8,0
Bubble,10000,Sorted,9,0
Bubble,10000,Sorted,10,0
Bubble,10000,Sorted,11,0
Bubble,10000,Sorted,12,0
Bubble,10000,Sorted,13,0
Bubble,10000,Sorted,14,0
Bubble,10000,Sorted,15,0
Bubble,10000,Sorted,16,0
Bubble,10000,Sorted,17,0
Bubble,10000,Sorted,18,0
Bubble,10000,Sorted,19,0
Bubble,10000,Sorted,20,0
Bubble,10000,Sorted,21,0
Bubble,10000,Sorted,22,0
Bubble,10000,Sorted,23,0
Bubble,10000,Sorted,24,0
Bubble,10000,Sorted,25,0
Bubble,10000,Sorted,26,0
Bubble,10000,Sorted,27,0
Bubble,10000,Sorted,28,0
Bubble,10000,Sorted,29,0
Bubble,10000,Sorted,30,0
Bubble,10000,Reversed,1,68
Bubble,10000,Reversed,2,68
Bubble,10000,Reversed,3,68
Bubble,10000,Reversed,4,68
Bubble,10000,Reversed,5,68
Bubble,10000,Reversed,6,68
Bubble,10000,Reversed,7,71
Bubble,10000,Reversed,8,69
Bubble,10000,Reversed,9,68
Bubble,10000,Reversed,10,68
Bubble,10000,Reversed,11,68
Bubble,10000,Reversed,12,68
Bubble,10000,Reversed,13,68
Bubble,10000,Reversed,14,68
Bubble,10000,Reversed,15,68
Bubble,10000,Reversed,16,68
Bubble,10000,Reversed,17,68
Bubble,10000,Reversed,18,68
Bubble,10000,Reversed,19,68
Bubble,10000,Reversed,20,68
Bubble,10000,Reversed,21,68
Bubble,10000,Reversed,22,68
Bubble,10000,Reversed,23,68
Bubble,10000,Reversed,24,68
Bubble,10000,Reversed,25,68
Bubble,10000,Reversed,26,68
Bubble,10000,Reversed,27,68
Bubble,10000,Reversed,28,70
Bubble,10000,Reversed,29,68
Bubble,10000,Reversed,30,68
Insertion,1000,Random,1,2
Insertion,1000,Random,2,1
Insertion,1000,Random,3,0
Insertion,1000,Random,4,1
Insertion,1000,Random,5,1
Insertion,1000,Random,6,0
Insertion,1000,Random,7,0
Insertion,1000,Random,8,0
Insertion,1000,Random,9,0
Insertion,1000,Random,10,0
Insertion,1000,Random,11,0
Insertion,1000,Random,12,0
Insertion,1000,Random,13,0
Insertion,1000,Random,14,0
Insertion,1000,Random,15,0
Insertion,1000,Random,16,0
Insertion,1000,Random,17,0
Insertion,1000,Random,18,0
Insertion,1000,Random,19,0
Insertion,1000,Random,20,0
Insertion,1000,Random,21,0
Insertion,1000,Random,22,0
Insertion,1000,Random,23,0
Insertion,1000,Random,24,0
Insertion,1000,Random,25,0
Insertion,1000,Random,26,0
Insertion,1000,Random,27,0
Insertion,1000,Random,28,0
Insertion,1000,Random,29,0
Insertion,1000,Random,30,0
Insertion,1000,Sorted,1,0
Insertion,1000,Sorted,2,0
Insertion,1000,Sorted,3,0
Insertion,1000,Sorted,4,0
Insertion,1000,Sorted,5,0
Insertion,1000,Sorted,6,0
Insertion,1000,Sorted,7,0
Insertion,1000,Sorted,8,0
Insertion,1000,Sorted,9,0
Insertion,1000,Sorted,10,0
Insertion,1000,Sorted,11,0
Insertion,1000,Sorted,12,0
Insertion,1000,Sorted,13,0
Insertion,1000,Sorted,14,0
Insertion,1000,Sorted,15,0
Insertion,1000,Sorted,16,0
Insertion,1000,Sorted,17,0
Insertion,1000,Sorted,18,0
Insertion,1000,Sorted,19,0
Insertion,1000,Sorted,20,0
Insertion,1000,Sorted,21,0
Insertion,1000,Sorted,22,0
Insertion,1000,Sorted,23,0
Insertion,1000,Sorted,24,0
Insertion,1000,Sorted,25,0
Insertion,1000,Sorted,26,0
Insertion,1000,Sorted,27,0
Insertion,1000,Sorted,28,0
Insertion,1000,Sorted,29,0
Insertion,1000,Sorted,30,0
Insertion,1000,Reversed,1,0
Insertion,1000,Reversed,2,0
Insertion,1000,Reversed,3,0
Insertion,1000,Reversed,4,0
Insertion,1000,Reversed,5,0
Insertion,1000,Reversed,6,0
Insertion,1000,Reversed,7,0
Insertion,1000,Reversed,8,0
Insertion,1000,Reversed,9,0
Insertion,1000,Reversed,10,0
Insertion,1000,Reversed,11,0
Insertion,1000,Reversed,12,0
Insertion,1000,Reversed,13,0
Insertion,1000,Reversed,14,0
Insertion,1000,Reversed,15,0
Insertion,1000,Reversed,16,0
Insertion,1000,Reversed,17,0
Insertion,1000,Reversed,18,0
Insertion,1000,Reversed,19,0
Insertion,1000,Reversed,20,0
Insertion,1000,Reversed,21,0
Insertion,1000,Reversed,22,0
Insertion,1000,Reversed,23,0
Insertion,1000,Reversed,24,0
Insertion,1000,Reversed,25,0
Insertion,1000,Reversed,26,0
Insertion,1000,Reversed,27,0
Insertion,1000,Reversed,28,0
Insertion,1000,Reversed,29,0
Insertion,1000,Reversed,30,0
Insertion,10000,Random,1,7
Insertion,10000,Random,2,7
Insertion,10000,Random,3,6
Insertion,10000,Random,4,7
Insertion,10000,Random,5,7
Insertion,10000,Random,6,7
Insertion,10000,Random,7,8
Insertion,10000,Random,8,7
Insertion,10000,Random,9,7
Insertion,10000,Random,10,6
Insertion,10000,Random,11,8
Insertion,10000,Random,12,7
Insertion,10000,Random,13,7
Insertion,10000,Random,14,6
Insertion,10000,Random,15,7
Insertion,10000,Random,16,8
Insertion,10000,Random,17,7
Insertion,10000,Random,18,6
Insertion,10000,Random,19,6
Insertion,10000,Random,20,6
Insertion,10000,Random,21,7
Insertion,10000,Random,22,6
Insertion,10000,Random,23,6
Insertion,10000,Random,24,6
Insertion,10000,Random,25,7
Insertion,10000,Random,26,7
Insertion,10000,Random,27,7
Insertion,10000,Random,28,7
Insertion,10000,Random,29,7
Insertion,10000,Random,30,10
Insertion,10000,Sorted,1,0
Insertion,10000,Sorted,2,0
